Data;Região;Taxa1;Taxa2
01/03/2017;Estado de São Paulo;14,4;20,6
01/03/2017;Região Metropolitana de São Paulo;15,4;21,6
01/03/2017;ESP exceto RMSP;13,4;19,6
01/03/2017;Município de São Paulo;14,3;21,6
01/03/2017;Brasil;13,9;24,1
01/06/2017;Estado de São Paulo;13,6;20,5
01/06/2017;Região Metropolitana de São Paulo;14,8;21,4
01/06/2017;ESP exceto RMSP;12,5;19,7
01/06/2017;Município de São Paulo;13,5;21,2
01/06/2017;Brasil;13,1;23,8
01/09/2017;Estado de São Paulo;13,3;20,4
01/09/2017;Região Metropolitana de São Paulo;14,3;21,0
01/09/2017;ESP exceto RMSP;12,3;20,0
01/09/2017;Município de São Paulo;13,3;20,5
01/09/2017;Brasil;12,5;23,9
01/12/2017;Estado de São Paulo;12,8;20,4
01/12/2017;Região Metropolitana de São Paulo;14,3;20,5
01/12/2017;ESP exceto RMSP;11,4;20,3
01/12/2017;Município de São Paulo;13,7;20,2
01/12/2017;Brasil;11,9;23,6
01/03/2018;Estado de São Paulo;14,1;21,1
01/03/2018;Região Metropolitana de São Paulo;15,1;21,1
01/03/2018;ESP exceto RMSP;13,2;21,1
01/03/2018;Município de São Paulo;14,4;20,6
01/03/2018;Brasil;13,2;24,7
01/06/2018;Estado de São Paulo;13,8;21,7
01/06/2018;Região Metropolitana de São Paulo;15,1;22,2
01/06/2018;ESP exceto RMSP;12,5;21,2
01/06/2018;Município de São Paulo;14,8;21,8
01/06/2018;Brasil;12,6;24,6
01/09/2018;Estado de São Paulo;13,3;21,0
01/09/2018;Região Metropolitana de São Paulo;14,8;21,6
01/09/2018;ESP exceto RMSP;11,8;20,4
01/09/2018;Município de São Paulo;14,2;21,7
01/09/2018;Brasil;12,0;24,2
01/12/2018;Estado de São Paulo;12,6;20,5
01/12/2018;Região Metropolitana de São Paulo;14,4;21,3
01/12/2018;ESP exceto RMSP;10,9;19,8
01/12/2018;Município de São Paulo;13,7;21,0
01/12/2018;Brasil;11,7;23,9
01/03/2019;Estado de São Paulo;13,6;20,9
01/03/2019;Região Metropolitana de São Paulo;14,9;21,3
01/03/2019;ESP exceto RMSP;12,4;20,6
01/03/2019;Município de São Paulo;14,3;21,0
01/03/2019;Brasil;12,8;25,0
01/06/2019;Estado de São Paulo;12,9;21,5
01/06/2019;Região Metropolitana de São Paulo;14,2;22,1
01/06/2019;ESP exceto RMSP;11,8;21,0
01/06/2019;Município de São Paulo;13,5;22,4
01/06/2019;Brasil;12,1;24,8
01/09/2019;Estado de São Paulo;12,1;20,4
01/09/2019;Região Metropolitana de São Paulo;13,3;21,1
01/09/2019;ESP exceto RMSP;11,1;19,7
01/09/2019;Município de São Paulo;12,7;21,3
01/09/2019;Brasil;11,9;24,1
01/12/2019;Estado de São Paulo;11,6;19,1
01/12/2019;Região Metropolitana de São Paulo;12,9;19,7
01/12/2019;ESP exceto RMSP;10,4;18,5
01/12/2019;Município de São Paulo;12,4;19,6
01/12/2019;Brasil;11,1;23,0
01/03/2020;Estado de São Paulo;12,3;20,1
01/03/2020;Região Metropolitana de São Paulo;13,5;20,3
01/03/2020;ESP exceto RMSP;11,1;20,0
01/03/2020;Município de São Paulo;13,2;20,2
01/03/2020;Brasil;12,4;24,4
01/06/2020;Estado de São Paulo;13,9;25,6
01/06/2020;Região Metropolitana de São Paulo;16,3;27,5
01/06/2020;ESP exceto RMSP;11,8;23,9
01/06/2020;Município de São Paulo;15,7;27,3
01/06/2020;Brasil;13,6;29,3
01/09/2020;Estado de São Paulo;15,4;26,8
01/09/2020;Região Metropolitana de São Paulo;17,8;28,3
01/09/2020;ESP exceto RMSP;13,2;25,4
01/09/2020;Município de São Paulo;17,9;29,2
01/09/2020;Brasil;14,9;30,4
01/12/2020;Estado de São Paulo;14,8;25,1
01/12/2020;Região Metropolitana de São Paulo;16,7;26,4
01/12/2020;ESP exceto RMSP;13,1;24,0
01/12/2020;Município de São Paulo;16,7;28,2
01/12/2020;Brasil;14,2;28,8
01/03/2021;Estado de São Paulo;14,7;25,7
01/03/2021;Região Metropolitana de São Paulo;16,1;26,0
01/03/2021;ESP exceto RMSP;13,3;25,3
01/03/2021;Município de São Paulo;15,7;27,1
01/03/2021;Brasil;14,9;29,6
01/06/2021;Estado de São Paulo;14,5;24,8
01/06/2021;Região Metropolitana de São Paulo;15,8;25,7
01/06/2021;ESP exceto RMSP;13,3;23,8
01/06/2021;Município de São Paulo;15,0;25,8
01/06/2021;Brasil;14,2;28,5
01/09/2021;Estado de São Paulo;13,4;23,9
01/09/2021;Região Metropolitana de São Paulo;15,0;25,2
01/09/2021;ESP exceto RMSP;11,8;22,6
01/09/2021;Município de São Paulo;13,6;25,0
01/09/2021;Brasil;12,6;26,5
01/12/2021;Estado de São Paulo;11,1;20,7
01/12/2021;Região Metropolitana de São Paulo;12,7;21,6
01/12/2021;ESP exceto RMSP;9,6;19,8
01/12/2021;Município de São Paulo;11,0;20,7
01/12/2021;Brasil;11,1;24,3
